"run_id","job_id","job_name","status","conclusion","started_at","completed_at","duration_s","runner_name","run_attempt"
17960446843,51082369355,"lint","completed","success","2025-09-23T22:15:26Z","2025-09-23T22:15:50Z",24,"GitHub Actions 1000000145",1
17960446843,51082369377,"build","completed","success","2025-09-23T22:15:23Z","2025-09-23T22:26:45Z",682,"GitHub Actions 1000000146",1
17984501979,51159046608,"build","completed","success","2025-09-24T17:24:58Z","2025-09-24T17:34:58Z",600,"GitHub Actions 1000000147",1
17984501979,51159046667,"lint","completed","success","2025-09-24T17:24:58Z","2025-09-24T17:25:21Z",23,"GitHub Actions 1000000148",1
17985755032,51163369611,"build","completed","success","2025-09-24T18:19:05Z","2025-09-24T18:30:04Z",659,"GitHub Actions 1000000149",1
17985755032,51163369642,"lint","completed","success","2025-09-24T18:19:03Z","2025-09-24T18:19:29Z",26,"GitHub Actions 1000000150",1
17991281594,51181655829,"build","completed","success","2025-09-24T22:24:51Z","2025-09-24T22:36:19Z",688,"GitHub Actions 1000000152",1
17991281594,51181655834,"lint","completed","success","2025-09-24T22:24:51Z","2025-09-24T22:25:10Z",19,"GitHub Actions 1000000151",1
18045284793,51359090575,"build","completed","failure","2025-09-26T18:54:49Z","2025-09-26T19:03:20Z",511,"GitHub Actions 1000000157",2
18045284793,51359090685,"lint","completed","success","2025-09-26T17:48:55Z","2025-09-26T17:49:16Z",21,"GitHub Actions 1000000153",2
18046466002,51547623470,"build","completed","success","2025-09-30T00:22:11Z","2025-09-30T00:30:45Z",514,"GitHub Actions 1000000202",3
18046466002,51547623534,"lint","completed","success","2025-09-26T18:43:38Z","2025-09-26T18:44:02Z",24,"GitHub Actions 1000000155",3
18051174695,51373225522,"build","completed","failure","2025-09-26T22:55:31Z","2025-09-26T23:03:58Z",507,"GitHub Actions 1000000160",1
18051174695,51373225523,"lint","completed","failure","2025-09-26T22:55:31Z","2025-09-26T22:55:53Z",22,"GitHub Actions 1000000159",1
18051199492,51373713308,"build","completed","failure","2025-09-26T23:07:27Z","2025-09-26T23:17:33Z",606,"GitHub Actions 1000000163",2
18051199492,51373713377,"lint","completed","success","2025-09-26T22:57:55Z","2025-09-26T22:58:15Z",20,"GitHub Actions 1000000161",2
18064954523,51406466262,"build","completed","failure","2025-09-27T21:08:11Z","2025-09-27T21:16:27Z",496,"GitHub Actions 1000000164",1
18064954523,51406466267,"lint","completed","success","2025-09-27T21:08:11Z","2025-09-27T21:08:35Z",24,"GitHub Actions 1000000165",1
18065277715,51407141987,"build","completed","failure","2025-09-27T21:38:39Z","2025-09-27T21:47:57Z",558,"GitHub Actions 1000000167",1
18065277715,51407141988,"lint","completed","success","2025-09-27T21:38:39Z","2025-09-27T21:39:01Z",22,"GitHub Actions 1000000166",1
18065929600,51408564785,"build","completed","failure","2025-09-27T22:48:48Z","2025-09-27T22:57:54Z",546,"GitHub Actions 1000000168",1
18065929600,51408564791,"lint","completed","success","2025-09-27T22:48:48Z","2025-09-27T22:49:10Z",22,"GitHub Actions 1000000169",1
18066180017,51409130735,"lint","completed","success","2025-09-27T23:16:31Z","2025-09-27T23:16:53Z",22,"GitHub Actions 1000000170",1
18066180017,51409130738,"build","completed","failure","2025-09-27T23:16:31Z","2025-09-27T23:24:49Z",498,"GitHub Actions 1000000171",1
18066188260,51409147510,"lint","completed","success","2025-09-27T23:17:16Z","2025-09-27T23:17:37Z",21,"GitHub Actions 1000000172",1
18066188260,51409147514,"build","completed","failure","2025-09-27T23:17:16Z","2025-09-27T23:26:44Z",568,"GitHub Actions 1000000173",1
18066308730,51409412659,"lint","completed","success","2025-09-27T23:30:32Z","2025-09-27T23:30:52Z",20,"GitHub Actions 1000000175",1
18066308730,51409412660,"build","completed","failure","2025-09-27T23:30:32Z","2025-09-27T23:38:48Z",496,"GitHub Actions 1000000174",1
18069294211,51416925267,"lint","completed","success","2025-09-28T04:26:05Z","2025-09-28T04:26:25Z",20,"GitHub Actions 1000000176",1
18069294211,51416925277,"build","completed","failure","2025-09-28T04:26:05Z","2025-09-28T04:35:26Z",561,"GitHub Actions 1000000177",1
18069581406,51417573085,"build","completed","failure","2025-09-28T04:58:30Z","2025-09-28T05:06:47Z",497,"GitHub Actions 1000000178",1
